Date,Name,Year,Letterboxd URI
2026-04-06,Apocalypse Now,1979,https://boxd.it/6ZS
2026-04-06,The NeverEnding Story,1984,https://boxd.it/1dE0
2026-04-06,Deep Red,1975,https://boxd.it/1E1E
2026-04-06,Avatar,2009,https://boxd.it/1Efm
2026-04-06,Sid and Nancy,1986,https://boxd.it/1N6e
2026-04-06,Coraline,2009,https://boxd.it/1NhQ
2026-04-06,Logan's Run,1976,https://boxd.it/1Vma
2026-04-06,Disturbia,2007,https://boxd.it/20rk
2026-04-06,The Blair Witch Project,1999,https://boxd.it/26ua
2026-04-06,Eastern Promises,2007,https://boxd.it/275q
2026-04-06,The Others,2001,https://boxd.it/27Po
2026-04-06,Misery,1990,https://boxd.it/28gY
2026-04-06,The Sixth Sense,1999,https://boxd.it/29Js
2026-04-06,Independence Day,1996,https://boxd.it/2a1w
2026-04-06,Monster,2003,https://boxd.it/2afy
2026-04-06,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2026-04-06,Fargo,1996,https://boxd.it/2aHM
2026-04-06,Saw,2004,https://boxd.it/2aWW
2026-04-06,Armageddon,1998,https://boxd.it/2b9Q
2026-04-06,Mars Attacks!,1996,https://boxd.it/2bd4
2026-04-06,War of the Worlds,2005,https://boxd.it/2bde
2026-04-06,Brazil,1985,https://boxd.it/2be2
2026-04-06,Moana,2016,https://boxd.it/8tfY
2026-04-06,Creed,2015,https://boxd.it/a2qk
2026-04-06,Bad Times at the El Royale,2018,https://boxd.it/fSA2
2026-04-06,The Fifth Element,1997,https://boxd.it/71k
2026-04-06,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE
2026-04-06,House,1977,https://boxd.it/1vsm
2026-04-06,The Party,1968,https://boxd.it/1VnC
2026-04-06,JFK,1991,https://boxd.it/29xm
2026-04-06,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0
2026-04-06,THX 1138,1971,https://boxd.it/29Ww
2026-04-06,Vertigo,1958,https://boxd.it/2apI
2026-04-06,Seven Samurai,1954,https://boxd.it/2axi
2026-04-06,The Hunt,2012,https://boxd.it/3wEC
2026-04-06,Nightcrawler,2014,https://boxd.it/780m
2026-04-06,Wolfwalkers,2020,https://boxd.it/fGrC
2026-04-06,Parasite,2019,https://boxd.it/hTha
2026-04-06,Thunder Road,2018,https://boxd.it/i8Hs
2026-04-06,One Cut of the Dead,2017,https://boxd.it/iAFu
2026-04-06,The Green Knight,2021,https://boxd.it/kuy2
2026-04-06,Tenet,2020,https://boxd.it/leq4
2026-04-06,Chernobyl,2019,https://boxd.it/mkbG
2026-04-06,Pig,2021,https://boxd.it/nzoW
2026-04-06,Feels Good Man,2020,https://boxd.it/oigS
2026-04-06,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a
2026-04-06,Tommy Boy,1995,https://boxd.it/1TZ0
2026-04-06,Mean Girls,2004,https://boxd.it/1VNg
2026-04-06,Unbreakable,2000,https://boxd.it/1XV2
2026-04-06,Tremors,1990,https://boxd.it/1YSe
2026-04-06,The Holy Mountain,1973,https://boxd.it/20mu
2026-04-06,Bram Stoker's Dracula,1992,https://boxd.it/223a
2026-04-06,The Mist,2007,https://boxd.it/22r2
2026-04-06,The Thing,1982,https://boxd.it/294O
2026-04-06,GoldenEye,1995,https://boxd.it/29KU
2026-04-06,Captain Phillips,2013,https://boxd.it/3GPK
2026-04-06,The Raid 2,2014,https://boxd.it/5uz0
2026-04-06,What We Do in the Shadows,2014,https://boxd.it/7eQy
2026-04-06,Logan,2017,https://boxd.it/7Piy
2026-04-06,The Batman,2022,https://boxd.it/eDGs
2026-04-06,BlacKkKlansman,2018,https://boxd.it/hxL8
2026-04-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2026-04-06,Saint Maud,2019,https://boxd.it/l8QA
2026-04-06,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2026-04-06,Nope,2022,https://boxd.it/sDCe
2026-04-06,Midnight Mass,2021,https://boxd.it/wvVA
2026-04-06,Drag Me to Hell,2009,https://boxd.it/1Jzw
2026-04-06,Jin-Roh: The Wolf Brigade,1999,https://boxd.it/29wS
2026-04-06,City of God,2002,https://boxd.it/2a2a
2026-04-06,Amadeus,1984,https://boxd.it/2aH8
2026-04-06,Barbie,2023,https://boxd.it/bCLK
2026-04-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2026-04-06,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW
2026-04-06,Weathering with You,2019,https://boxd.it/kPxE
2026-04-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2026-04-06,The Menu,2022,https://boxd.it/lScm
2026-04-06,John Wick: Chapter 4,2023,https://boxd.it/mh48
2026-04-06,Welcome to the N-H-K,2006,https://boxd.it/py6G
2026-04-06,NANA,2006,https://boxd.it/qBBE
2026-04-06,Bones and All,2022,https://boxd.it/tLd4
2026-04-06,The Fabelmans,2022,https://boxd.it/ugoM
2026-04-06,Oppenheimer,2023,https://boxd.it/wUow
2026-04-06,Barbarian,2022,https://boxd.it/yohi
2026-04-06,Chainsaw Man,2022,https://boxd.it/J6t8
2026-04-06,21 Jump Street,2012,https://boxd.it/J0
2026-04-06,Insidious,2010,https://boxd.it/H4k
2026-04-06,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2026-04-06,Perfect Blue,1997,https://boxd.it/1W7A
2026-04-06,Children of Men,2006,https://boxd.it/1Y2i
2026-04-06,Candyman,1992,https://boxd.it/1Ys6
2026-04-06,They Live,1988,https://boxd.it/20lm
2026-04-06,The Village,2004,https://boxd.it/21iS
2026-04-06,Signs,2002,https://boxd.it/26t2
2026-04-06,Wet Hot American Summer,2001,https://boxd.it/27hw
2026-04-06,"I, Robot",2004,https://boxd.it/27y8
2026-04-06,Vanilla Sky,2001,https://boxd.it/27TK
2026-04-06,Aliens,1986,https://boxd.it/29PA
2026-04-06,The Ring,2002,https://boxd.it/2a70
2026-04-06,The King of Comedy,1982,https://boxd.it/2aJS
2026-04-06,Prometheus,2012,https://boxd.it/2s9e
2026-04-06,Split,2016,https://boxd.it/dgSy
2026-04-06,Serial Experiments Lain,1998,https://boxd.it/hYQE
2026-04-06,TÁR,2022,https://boxd.it/uNIA
2026-04-06,The Substance,2024,https://boxd.it/zanS
2026-04-06,Memoir of a Snail,2024,https://boxd.it/EgX8
2026-04-06,The Wild Robot,2024,https://boxd.it/IWFy
2026-04-06,MacGruber,2010,https://boxd.it/17ay
2026-04-06,The Deer Hunter,1978,https://boxd.it/1T6O
2026-04-06,Manhunter,1986,https://boxd.it/1TOw
2026-04-06,Wayne's World,1992,https://boxd.it/1ZHG
2026-04-06,¡Three Amigos!,1986,https://boxd.it/20f4
2026-04-06,Napoleon Dynamite,2004,https://boxd.it/20wu
2026-04-06,Highlander,1986,https://boxd.it/20GE
2026-04-06,Adaptation.,2002,https://boxd.it/26mA
2026-04-06,Jacob's Ladder,1990,https://boxd.it/270g
2026-04-06,The Grapes of Wrath,1940,https://boxd.it/2a2u
2026-04-06,The Blues Brothers,1980,https://boxd.it/2adi
2026-04-06,Some Like It Hot,1959,https://boxd.it/2aNA
2026-04-06,Nebraska,2013,https://boxd.it/4exq
2026-04-06,Annihilation,2018,https://boxd.it/9yzm
2026-04-06,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2026-04-06,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa
2026-04-06,The Shape of Water,2017,https://boxd.it/dZ5m
2026-04-06,Thunderbolts*,2025,https://boxd.it/BfbQ
2026-04-06,Sinners,2025,https://boxd.it/KQMM
2026-04-06,The Penguin,2024,https://boxd.it/QkIU
2026-04-06,Bottle Rocket,1996,https://boxd.it/1PDa
2026-04-06,Thief,1981,https://boxd.it/1TEc
2026-04-06,The Princess and the Frog,2009,https://boxd.it/1WQq
2026-04-06,Jerry Maguire,1996,https://boxd.it/1YNS
2026-04-06,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ
2026-04-06,Shanghai Noon,2000,https://boxd.it/202a
2026-04-06,There Will Be Blood,2007,https://boxd.it/20Z2
2026-04-06,L.A. Confidential,1997,https://boxd.it/27oC
2026-04-06,Raging Bull,1980,https://boxd.it/28yI
2026-04-06,The Departed,2006,https://boxd.it/28MA
2026-04-06,Evil Dead II,1987,https://boxd.it/29Ge
2026-04-06,The Evil Dead,1981,https://boxd.it/29Go
